COUNTRY,REGION,VALUE,YEAR,ad_type
Kenya,Africa,no restrictions,2012,Beer
Latvia,Europe,no restrictions,2012,Spirits
Lithuania,Europe,no restrictions,2012,Spirits
Luxembourg,Europe,no restrictions,2012,Spirits
Mali,Africa,no restrictions,2012,Wine
Mali,Africa,no restrictions,2012,Spirits
Micronesia (Federated States of),Western Pacific,partial restriction time/place,2012,Wine
Micronesia (Federated States of),Western Pacific,partial restriction time/place,2012,Spirits
Mozambique,Africa,no restrictions,2012,Wine
Myanmar,South-East Asia,voluntary/self-restricted,2012,Wine
New Zealand,Western Pacific,voluntary/self-restricted,2012,Beer
New Zealand,Western Pacific,voluntary/self-restricted,2012,Wine
Oman,Eastern Mediterranean,ban,2012,Beer
Oman,Eastern Mediterranean,ban,2012,Wine
Paraguay,Americas,partial restriction time/place,2012,Beer
Peru,Americas,no restrictions,2012,Beer
Rwanda,Africa,no restrictions,2012,Spirits
Saint Kitts and Nevis,Americas,no restrictions,2012,Beer
San Marino,Europe,no restrictions,2012,Spirits
Sao Tome and Principe,Africa,no restrictions,2012,Spirits
Sierra Leone,Africa,no restrictions,2012,Wine
Sierra Leone,Africa,no restrictions,2012,Spirits
South Africa,Africa,voluntary/self-restricted,2012,Wine
South Africa,Africa,voluntary/self-restricted,2012,Spirits
Eswatini,Africa,no restrictions,2012,Wine
Sweden,Europe,partial restriction content,2012,Wine
Sweden,Europe,ban,2012,Spirits
The former Yugoslav republic of Macedonia,Europe,no restrictions,2012,Beer
The former Yugoslav republic of Macedonia,Europe,ban,2012,Wine
Tunisia,Eastern Mediterranean,ban,2012,Beer
Tunisia,Eastern Mediterranean,ban,2012,Wine
Uruguay,Americas,no restrictions,2012,Spirits
Uzbekistan,Europe,ban,2012,Beer
Zambia,Africa,no restrictions,2012,Spirits
Zimbabwe,Africa,ban,2012,Beer
Morocco,Eastern Mediterranean,,2012,Wine
Cook Islands,Western Pacific,,2012,Beer
Democratic People's Republic of Korea,South-East Asia,,2012,Spirits
Morocco,Eastern Mediterranean,,2012,Spirits
Haiti,Americas,,2012,Spirits
Somalia,Eastern Mediterranean,,2012,Spirits
Vanuatu,Western Pacific,,2012,Wine
Lebanon,Eastern Mediterranean,,2012,Beer
Solomon Islands,Western Pacific,,2012,Beer
Vanuatu,Western Pacific,,2012,Spirits
Andorra,Europe,no restrictions,2012,Wine
Antigua and Barbuda,Americas,no restrictions,2012,Spirits
Australia,Western Pacific,voluntary/self-restricted,2012,Beer
Bahamas,Americas,no restrictions,2012,Spirits
Barbados,Americas,no restrictions,2012,Beer
Belgium,Europe,no restrictions,2012,Wine
Bolivia (Plurinational State of),Americas,no restrictions,2012,Beer
Botswana,Africa,no restrictions,2012,Wine
Brunei Darussalam,Western Pacific,ban,2012,Spirits
Burkina Faso,Africa,no restrictions,2012,Beer
Cambodia,Western Pacific,no restrictions,2012,Wine
Canada,Americas,no restrictions,2012,Spirits
Chad,Africa,no restrictions,2012,Beer
Chile,Americas,no restrictions,2012,Wine
Colombia,Americas,no restrictions,2012,Spirits
Croatia,Europe,ban,2012,Spirits
Czechia,Europe,partial restriction content,2012,Beer
Democratic Republic of the Congo,Africa,no restrictions,2012,Wine
Dominican Republic,Americas,no restrictions,2012,Beer
